company_id,name,registration_year,industry_type,address,fraud_label
COMP_0000,Venture Systems Ltd.,2018,Transportation,"251 Oak St, City 23434",0
COMP_0001,Venture Labs Ltd.,2013,Telecommunications,"33 Main St, City 38657",0
COMP_0002,Prime Labs Ltd.,2012,Manufacturing,"734 Central St, Town 38893",0
COMP_0003,Apex Holdings Ltd.,2019,Healthcare,"715 Park St, Town 46421",1
COMP_0004,Smart Group corp.,2021,IT Services,"6 Dummy Street, Shell City 00000",1
COMP_0005,Quantum Holdings Ltd.,2018,Engineering,"550 Main St, Town 20328",1
COMP_0006,Nexus Holdings corp.,2013,Manufacturing,"722 Main St, City 96673",0
COMP_0007,Prime Holdings Ltd.,2022,Manufacturing,"888 Main St, Town 46434",1
COMP_0008,Apex Enterprises Inc.,2006,Energy,"215 Elm St, Village 99593",0
COMP_0009,Venture Systems Inc.,2012,Finance,"251 Oak St, Town 59735",0
COMP_0010,Elite Labs Inc.,2016,Energy,"864 Main St, City 14207",0
COMP_0011,Forward Industries corp.,1997,Manufacturing,"936 Central St, Village 51245",0
COMP_0012,Prime Ventures LLC,2023,Architecture,"470 Oak St, Town 28301",0
COMP_0013,Prime Labs corp.,2018,Security Services,"439 Central St, Town 57447",1
COMP_0014,Prime Services LLC,1997,Construction,"882 Main St, City 92240",0
COMP_0015,Smart Industries Ltd.,2007,Telecommunications,"611 Park St, Village 42953",1
COMP_0016,Nexus Solutions Ltd.,2016,Consulting,"769 Elm St, Village 54587",0
COMP_0017,Global Holdings LLC,2000,Engineering,"4 Elm St, Village 33416",1
COMP_0018,Nexus Systems corp.,2021,Architecture,"520 Central St, City 30032",1
COMP_0019,Forward Services Ltd.,2014,Energy,"501 Main St, City 57576",1
COMP_0020,Elite Group Ltd.,2002,Security Services,"970 Main St, City 73699",0
COMP_0021,Global Labs Inc.,1999,Architecture,"487 Central St, City 44741",0
COMP_0022,Nexus Industries Inc.,2012,Finance,"707 Oak St, Village 50857",0
COMP_0023,Dynamic Enterprises LLC,2023,Consulting,"463 Main St, City 39451",0
COMP_0024,Global Enterprises Ltd.,2013,Consulting,"236 Central St, City 10942",0
COMP_0025,Global Solutions Inc.,1997,Construction,"881 Elm St, City 77391",0
COMP_0026,Prime Holdings LLC,2001,Consulting,"136 Central St, Village 71953",1
COMP_0027,Prime Ventures LLC,2019,IT Services,"5 Dummy Street, Shell City 00000",1
COMP_0028,Dynamic Ventures Ltd.,2016,Architecture,"662 Main St, City 62772",0
COMP_0029,Summit Enterprises Ltd.,2002,Manufacturing,"195 Central St, Town 28373",0
COMP_0030,Dynamic Services corp.,2009,Manufacturing,"896 Main St, Town 82132",0
COMP_0031,Global Solutions Ltd.,2019,Manufacturing,"5 Dummy Street, Shell City 00000",1
COMP_0032,Prime Industries Ltd.,2000,Telecommunications,"3 Park St, Town 69638",0
COMP_0033,Elite Industries LLC,1999,Manufacturing,"304 Oak St, City 85914",1
COMP_0034,Summit Labs Ltd.,2018,Energy,"59 Main St, Village 72493",0
COMP_0035,Nexus Labs Inc.,1996,Consulting,"83 Oak St, City 87992",0
COMP_0036,Global Group LLC,1998,Security Services,"253 Central St, Village 15209",1
COMP_0037,Quantum Systems LLC,2016,Security Services,"579 Central St, Town 44179",0
COMP_0038,Prime Enterprises Inc.,2003,Telecommunications,"135 Elm St, Town 51441",0
COMP_0039,Global Solutions LLC,2014,Security Services,"103 Main St, Village 37938",1
COMP_0040,Nexus Holdings Inc.,2006,IT Services,"901 Oak St, Town 47353",1
COMP_0041,Smart Ventures corp.,2014,Architecture,"542 Main St, Village 82692",0
COMP_0042,Elite Systems Inc.,2003,IT Services,"912 Main St, Village 82512",1
COMP_0043,Smart Holdings corp.,2014,Manufacturing,"735 Elm St, City 93130",1
COMP_0044,Elite Labs LLC,2003,Construction,"95 Park St, Town 15778",0
COMP_0045,Tech Enterprises Inc.,2021,Transportation,"6 Dummy Street, Shell City 00000",1
COMP_0046,Nexus Solutions Ltd.,1997,Finance,"926 Oak St, Village 14722",0
COMP_0047,Forward Labs Inc.,2008,Healthcare,"43 Elm St, Town 15229",0
COMP_0048,Forward Group Inc.,2016,IT Services,"363 Central St, Town 91351",0
COMP_0049,Summit Services Inc.,2022,Healthcare,"820 Oak St, Town 13248",0
COMP_0050,Smart Enterprises LLC,2020,Architecture,"885 Oak St, Town 30866",1
COMP_0051,Summit Systems LLC,2022,Construction,"880 Park St, City 36158",0
COMP_0052,Apex Enterprises corp.,2021,Manufacturing,"229 Main St, Village 35313",0
COMP_0053,Dynamic Enterprises corp.,2022,IT Services,"991 Elm St, Town 94080",0
COMP_0054,Nexus Industries corp.,1995,IT Services,"899 Elm St, City 86099",0
COMP_0055,Elite Solutions Ltd.,2014,Telecommunications,"354 Elm St, Town 89457",0
COMP_0056,Nexus Systems LLC,2018,Security Services,"9 Dummy Street, Shell City 00000",1
COMP_0057,Tech Labs Inc.,2006,Telecommunications,"72 Elm St, Village 51145",1
COMP_0058,Venture Systems corp.,2011,Transportation,"683 Park St, Town 62743",1
COMP_0059,Summit Holdings Inc.,2001,Telecommunications,"681 Park St, Village 32810",0
COMP_0060,Quantum Holdings LLC,2012,Construction,"312 Elm St, City 66346",0
COMP_0061,Quantum Enterprises LLC,2009,Engineering,"692 Oak St, Village 72021",0
COMP_0062,Summit Services Ltd.,2004,Consulting,"680 Central St, Town 22240",0
COMP_0063,Prime Holdings Inc.,2020,Manufacturing,"151 Main St, City 42092",0
COMP_0064,Apex Systems LLC,2008,Architecture,"590 Oak St, Village 60328",1
COMP_0065,Apex Industries Inc.,1999,Architecture,"705 Main St, City 65724",0
COMP_0066,Prime Services LLC,1996,Consulting,"256 Main St, Town 27477",0
COMP_0067,Apex Labs corp.,2019,Engineering,"628 Central St, Town 81810",0
COMP_0068,Apex Services LLC,2009,Transportation,"770 Oak St, Village 46347",1
COMP_0069,Nexus Ventures Inc.,2003,Engineering,"80 Elm St, City 45614",1
COMP_0070,Forward Enterprises Ltd.,1999,Healthcare,"237 Park St, Village 30028",1
COMP_0071,Summit Group Ltd.,2008,Telecommunications,"339 Central St, Town 64496",1
COMP_0072,Tech Group LLC,2007,Security Services,"969 Main St, Village 59857",1
COMP_0073,Apex Solutions corp.,2004,Telecommunications,"874 Park St, Village 81582",1
COMP_0074,Quantum Group LLC,2002,Transportation,"447 Park St, City 60968",0
COMP_0075,Forward Industries Inc.,2021,Engineering,"942 Oak St, Village 80008",0
COMP_0076,Tech Industries Ltd.,1997,Architecture,"439 Oak St, Town 33819",0
COMP_0077,Tech Holdings LLC,2005,Manufacturing,"466 Elm St, Town 59692",1
COMP_0078,Elite Industries corp.,2021,IT Services,"482 Main St, Village 80702",1
COMP_0079,Tech Enterprises Inc.,2015,IT Services,"800 Main St, City 42411",0
COMP_0080,Prime Solutions Inc.,2002,Healthcare,"485 Main St, Village 38569",0
COMP_0081,Apex Holdings corp.,2000,Security Services,"622 Main St, City 50768",1
COMP_0082,Global Solutions corp.,2013,Architecture,"930 Park St, Town 35995",0
COMP_0083,Global Group Ltd.,2017,Transportation,"871 Central St, City 84177",0
COMP_0084,Tech Enterprises LLC,2016,Energy,"71 Central St, Village 54725",0
COMP_0085,Tech Industries LLC,1998,Telecommunications,"984 Elm St, Village 70258",1
COMP_0086,Summit Services LLC,2000,Finance,"535 Elm St, Village 80539",1
COMP_0087,Apex Ventures LLC,2021,Finance,"607 Elm St, Town 42177",1
COMP_0088,Global Holdings LLC,2002,Engineering,"584 Central St, Village 59674",0
COMP_0089,Forward Solutions LLC,2022,Energy,"187 Park St, City 56507",1
COMP_0090,Elite Enterprises corp.,2023,Security Services,"719 Elm St, Village 11330",0
COMP_0091,Nexus Group Ltd.,2002,Finance,"417 Park St, Village 41499",0
COMP_0092,Summit Ventures LLC,2009,Construction,"96 Elm St, City 63005",1
COMP_0093,Summit Group corp.,2016,Security Services,"378 Park St, Village 79588",1
COMP_0094,Forward Industries corp.,2006,Finance,"465 Elm St, Town 42951",0
COMP_0095,Prime Systems Inc.,2005,IT Services,"761 Central St, Village 34267",1
COMP_0096,Prime Group LLC,2003,Finance,"604 Central St, Village 47093",1
COMP_0097,Global Group corp.,2002,Energy,"184 Elm St, City 80010",0
COMP_0098,Smart Holdings Ltd.,1996,Consulting,"300 Oak St, Village 74340",0
COMP_0099,Global Solutions corp.,2010,Engineering,"452 Elm St, City 16734",0
COMP_0100,Elite Ventures Ltd.,2021,IT Services,"411 Park St, City 85631",0
COMP_0101,Venture Solutions Inc.,1999,Security Services,"972 Elm St, City 42530",0
COMP_0102,Global Labs LLC,2014,Security Services,"810 Central St, City 78494",0
COMP_0103,Dynamic Ventures LLC,2004,Security Services,"440 Elm St, Village 91399",0
COMP_0104,Tech Systems Inc.,2015,Manufacturing,"271 Main St, City 41439",0
COMP_0105,Smart Labs Ltd.,2000,Construction,"419 Park St, Village 87832",0
COMP_0106,Apex Holdings Ltd.,2002,Transportation,"724 Elm St, Village 69510",0
COMP_0107,Global Group corp.,2020,Architecture,"604 Oak St, Town 25043",0
COMP_0108,Nexus Group Inc.,2003,Healthcare,"74 Main St, City 50319",0
COMP_0109,Quantum Holdings LLC,1998,Engineering,"706 Elm St, Village 62757",0
COMP_0110,Elite Labs LLC,2009,IT Services,"613 Main St, Town 52247",0
COMP_0111,Quantum Holdings Ltd.,1997,Manufacturing,"985 Central St, Village 12719",1
COMP_0112,Venture Holdings Ltd.,2019,Healthcare,"482 Central St, Village 67963",0
COMP_0113,Elite Services LLC,2015,Engineering,"993 Main St, Town 55607",0
COMP_0114,Dynamic Enterprises corp.,2016,IT Services,"879 Oak St, Town 63955",1
COMP_0115,Summit Ventures corp.,2016,Telecommunications,"834 Central St, City 69614",1
COMP_0116,Global Enterprises corp.,2005,IT Services,"994 Park St, Village 10150",0
COMP_0117,Venture Labs LLC,2008,Construction,"193 Central St, Town 91609",0
COMP_0118,Apex Ventures Ltd.,2001,Transportation,"563 Oak St, Town 67424",1
COMP_0119,Summit Ventures Ltd.,1995,Architecture,"624 Oak St, Village 30758",0
COMP_0120,Elite Labs Ltd.,2012,Telecommunications,"96 Oak St, City 70482",1
COMP_0121,Global Services LLC,2017,Transportation,"522 Elm St, Town 73242",1
COMP_0122,Apex Group LLC,2012,Healthcare,"393 Oak St, Village 76616",0
COMP_0123,Summit Services Ltd.,2003,Telecommunications,"349 Central St, Town 10336",1
COMP_0124,Elite Holdings LLC,2022,Healthcare,"458 Central St, Town 55236",1
COMP_0125,Forward Labs LLC,2009,Energy,"891 Oak St, Village 41300",1
COMP_0126,Quantum Industries Inc.,2022,Telecommunications,"45 Elm St, Village 71993",0
COMP_0127,Summit Industries LLC,2016,Architecture,"156 Park St, City 26547",0
COMP_0128,Nexus Enterprises Ltd.,2022,Engineering,"103 Central St, Town 12011",0
COMP_0129,Summit Services LLC,2022,Architecture,"994 Oak St, City 71537",1
COMP_0130,Elite Enterprises LLC,2015,IT Services,"873 Elm St, Village 79942",0
COMP_0131,Dynamic Enterprises LLC,2022,Consulting,"37 Central St, City 40771",1
COMP_0132,Venture Holdings Inc.,2018,IT Services,"445 Main St, Village 23173",0
COMP_0133,Apex Services corp.,2023,Construction,"48 Elm St, City 48452",1
COMP_0134,Forward Enterprises LLC,1999,Manufacturing,"544 Park St, Village 99364",0
COMP_0135,Smart Services Inc.,1997,Security Services,"892 Park St, Village 99539",0
COMP_0136,Prime Ventures Inc.,2002,Engineering,"654 Elm St, Town 43466",1
COMP_0137,Venture Solutions LLC,2023,Transportation,"694 Central St, City 19681",1
COMP_0138,Apex Enterprises corp.,2015,Telecommunications,"707 Elm St, Town 49599",1
COMP_0139,Prime Industries LLC,1998,Manufacturing,"391 Central St, Town 85341",0
COMP_0140,Elite Holdings Ltd.,2021,Architecture,"406 Elm St, City 84177",1
COMP_0141,Venture Solutions LLC,2021,Transportation,"795 Oak St, Village 56179",0
COMP_0142,Prime Group corp.,2016,Finance,"786 Oak St, Village 22735",1
COMP_0143,Venture Solutions corp.,2020,Engineering,"35 Central St, Town 27224",1
COMP_0144,Global Holdings corp.,2018,Telecommunications,"9 Dummy Street, Shell City 00000",1
COMP_0145,Forward Labs corp.,2021,Healthcare,"264 Park St, Town 54396",0
COMP_0146,Global Ventures Ltd.,1999,Manufacturing,"881 Park St, Village 57942",1
COMP_0147,Global Industries Ltd.,2003,Consulting,"127 Park St, Town 98188",1
COMP_0148,Summit Holdings LLC,2021,Architecture,"963 Elm St, City 98452",1
COMP_0149,Prime Ventures Ltd.,2014,Consulting,"336 Central St, City 94889",1
COMP_0150,Global Ventures corp.,2015,Telecommunications,"120 Oak St, City 14877",1
COMP_0151,Elite Ventures Ltd.,1998,Manufacturing,"909 Central St, City 60940",0
COMP_0152,Apex Enterprises LLC,2013,Finance,"745 Oak St, Town 95841",0
COMP_0153,Global Ventures LLC,2003,Construction,"707 Elm St, City 68115",0
COMP_0154,Apex Group corp.,1998,Architecture,"377 Central St, Village 57012",0
COMP_0155,Tech Industries corp.,2001,IT Services,"972 Park St, City 96870",1
COMP_0156,Prime Solutions Ltd.,2020,Energy,"250 Oak St, Village 36896",0
COMP_0157,Global Labs Inc.,2013,Manufacturing,"833 Oak St, Town 29340",0
COMP_0158,Quantum Solutions corp.,2022,Healthcare,"134 Central St, Town 32871",1
COMP_0159,Global Solutions Inc.,1995,Energy,"809 Oak St, Village 52437",1
COMP_0160,Tech Services corp.,1996,Healthcare,"760 Park St, Village 24896",0
COMP_0161,Summit Systems LLC,2009,Energy,"526 Central St, City 69245",0
COMP_0162,Nexus Group Ltd.,2018,Architecture,"4 Dummy Street, Shell City 00000",1
COMP_0163,Tech Solutions LLC,2022,Telecommunications,"437 Main St, Town 68138",0
COMP_0164,Global Systems corp.,2014,Healthcare,"68 Oak St, Town 91830",0
COMP_0165,Venture Labs corp.,2007,Security Services,"544 Elm St, Town 76263",0
COMP_0166,Quantum Industries Ltd.,2020,Finance,"118 Central St, Village 38183",1
COMP_0167,Dynamic Ventures Inc.,2008,Energy,"848 Park St, Town 64524",0
COMP_0168,Summit Systems corp.,2008,Energy,"682 Elm St, Town 30006",0
COMP_0169,Venture Ventures Ltd.,1997,IT Services,"96 Park St, City 58843",1
COMP_0170,Smart Labs Ltd.,2013,Consulting,"576 Elm St, Village 26021",0
COMP_0171,Dynamic Enterprises LLC,2022,Finance,"53 Elm St, Village 50953",0
COMP_0172,Forward Systems Inc.,1999,Architecture,"494 Oak St, City 55890",1
COMP_0173,Nexus Enterprises Ltd.,2019,Transportation,"588 Oak St, Town 83526",0
COMP_0174,Quantum Labs Ltd.,2014,Architecture,"850 Elm St, City 33647",0
COMP_0175,Elite Holdings corp.,2006,Construction,"186 Oak St, Village 96159",1
COMP_0176,Dynamic Systems Inc.,2018,Architecture,"996 Main St, City 79531",0
COMP_0177,Prime Industries LLC,2009,Energy,"162 Elm St, Town 52517",0
COMP_0178,Quantum Systems Ltd.,1999,Healthcare,"773 Central St, City 98338",1
COMP_0179,Global Holdings LLC,2016,Telecommunications,"498 Central St, Town 64287",0
COMP_0180,Elite Group Ltd.,2006,Telecommunications,"114 Elm St, Village 98930",1
COMP_0181,Quantum Ventures corp.,1996,Manufacturing,"405 Central St, City 11007",1
COMP_0182,Prime Holdings Inc.,2019,Healthcare,"783 Elm St, Town 53007",0
COMP_0183,Global Solutions LLC,2018,Telecommunications,"9 Dummy Street, Shell City 00000",1
COMP_0184,Summit Group corp.,1997,Telecommunications,"883 Main St, Town 12456",1
COMP_0185,Apex Systems corp.,2013,Telecommunications,"588 Park St, Village 93904",0
COMP_0186,Dynamic Holdings Ltd.,2007,Construction,"990 Elm St, City 91018",1
COMP_0187,Apex Enterprises Ltd.,2008,IT Services,"250 Park St, Village 62487",1
COMP_0188,Nexus Systems LLC,2022,Transportation,"764 Elm St, City 53655",1
COMP_0189,Smart Systems Ltd.,2019,Consulting,"5 Dummy Street, Shell City 00000",1
COMP_0190,Smart Group Ltd.,1999,Transportation,"203 Oak St, Village 30036",0
COMP_0191,Venture Systems Inc.,2019,Architecture,"506 Park St, Village 85952",0
COMP_0192,Apex Enterprises corp.,1999,Engineering,"70 Park St, Town 92756",0
COMP_0193,Elite Holdings Ltd.,2006,Consulting,"76 Elm St, Town 69233",0
COMP_0194,Tech Solutions corp.,2021,Transportation,"79 Main St, Village 87867",0
COMP_0195,Nexus Industries LLC,2013,Consulting,"978 Main St, Town 84928",0
COMP_0196,Venture Group corp.,2014,Engineering,"514 Oak St, City 69050",1
COMP_0197,Global Enterprises Ltd.,2011,Architecture,"177 Main St, City 67377",0
COMP_0198,Apex Labs Inc.,2006,Energy,"940 Elm St, Town 63578",0
COMP_0199,Forward Solutions corp.,1997,Energy,"97 Central St, Village 60667",0
COMP_0200,Elite Holdings Inc.,2005,IT Services,"597 Oak St, Town 50662",1
COMP_0201,Venture Industries Inc.,2018,Finance,"4 Dummy Street, Shell City 00000",1
COMP_0202,Dynamic Enterprises Inc.,2016,Finance,"849 Central St, City 94675",0
COMP_0203,Venture Industries corp.,1995,Energy,"317 Oak St, City 54791",0
COMP_0204,Apex Group Inc.,1999,Healthcare,"80 Elm St, City 76543",0
COMP_0205,Nexus Labs Ltd.,2016,Energy,"898 Central St, City 88282",0
COMP_0206,Dynamic Services Inc.,2021,Finance,"6 Dummy Street, Shell City 00000",1
COMP_0207,Tech Industries corp.,2016,Finance,"244 Park St, Village 47346",0
COMP_0208,Summit Ventures Inc.,2012,Manufacturing,"317 Park St, City 58213",0
COMP_0209,Venture Ventures LLC,2019,Transportation,"797 Park St, Village 79135",0
COMP_0210,Dynamic Services Inc.,2020,Security Services,"142 Elm St, City 94040",1
COMP_0211,Apex Enterprises Ltd.,2017,Consulting,"872 Main St, Town 20993",0
COMP_0212,Smart Holdings LLC,2023,Consulting,"151 Park St, City 39102",1
COMP_0213,Apex Enterprises Ltd.,2008,Construction,"406 Central St, Town 40903",1
COMP_0214,Dynamic Systems corp.,2002,Construction,"327 Main St, Village 95191",0
COMP_0215,Forward Services Inc.,1996,Transportation,"940 Park St, Village 28191",1
COMP_0216,Summit Ventures LLC,2014,Construction,"928 Main St, City 43544",0
COMP_0217,Prime Services LLC,1998,Transportation,"244 Elm St, City 16258",1
COMP_0218,Prime Industries LLC,1997,IT Services,"857 Park St, Village 80261",0
COMP_0219,Tech Labs Inc.,2017,Healthcare,"299 Park St, City 90584",0
COMP_0220,Forward Group LLC,2000,Architecture,"685 Main St, Village 57265",0
COMP_0221,Global Labs Ltd.,2018,Engineering,"4 Dummy Street, Shell City 00000",1
COMP_0222,Summit Solutions corp.,2020,IT Services,"354 Oak St, Village 96127",0
COMP_0223,Venture Systems corp.,1999,Construction,"361 Central St, Town 94252",1
COMP_0224,Smart Ventures LLC,2015,Healthcare,"831 Oak St, City 69988",0
COMP_0225,Tech Holdings Inc.,1996,Manufacturing,"908 Main St, Town 50642",0
COMP_0226,Nexus Industries LLC,2003,Construction,"772 Oak St, Town 56789",0
COMP_0227,Tech Enterprises corp.,1998,Energy,"448 Park St, Village 67637",0
COMP_0228,Dynamic Enterprises Inc.,2010,Finance,"510 Elm St, Village 44959",1
COMP_0229,Global Industries Ltd.,2008,Security Services,"843 Oak St, Village 48504",0
COMP_0230,Forward Systems Ltd.,2005,Architecture,"303 Elm St, Town 88986",1
COMP_0231,Summit Industries Inc.,2017,Engineering,"360 Park St, City 56210",0
COMP_0232,Quantum Industries corp.,2015,Construction,"77 Park St, Town 77251",1
COMP_0233,Summit Services Ltd.,1999,Security Services,"695 Park St, City 26545",1
COMP_0234,Global Group corp.,2006,Telecommunications,"973 Central St, City 89310",0
COMP_0235,Smart Ventures corp.,2006,Engineering,"782 Main St, Village 28047",0
COMP_0236,Nexus Enterprises LLC,2005,Architecture,"286 Oak St, City 13396",1
COMP_0237,Summit Services LLC,2011,Telecommunications,"936 Central St, City 44311",1
COMP_0238,Elite Ventures Inc.,2014,Transportation,"711 Park St, City 26074",1
COMP_0239,Smart Systems LLC,2000,Finance,"456 Main St, Village 51889",0
COMP_0240,Venture Enterprises Ltd.,2012,Consulting,"298 Elm St, City 93584",1
COMP_0241,Smart Enterprises Inc.,1998,Manufacturing,"812 Oak St, City 74752",1
COMP_0242,Tech Enterprises corp.,2009,Consulting,"133 Central St, City 18617",1
COMP_0243,Elite Industries LLC,2011,Telecommunications,"788 Park St, Village 19666",1
COMP_0244,Smart Enterprises Ltd.,2009,Engineering,"697 Central St, Town 26821",0
COMP_0245,Nexus Services Inc.,2008,Consulting,"933 Main St, City 77908",1
COMP_0246,Smart Holdings Inc.,2000,Energy,"958 Oak St, Town 78012",1
COMP_0247,Elite Systems corp.,2001,Architecture,"980 Central St, Town 26406",1
COMP_0248,Venture Holdings Ltd.,2011,Architecture,"173 Central St, Village 30210",1
